Defect type,Project name,Anomaly ID,Anomaly Link,Blade,Blade model,Category,Rib,Side,"Distance to root, m",Image,Photo url,Custom Recommendation,Link to project,Turbine model,Lenght mm,service_hours,Blade lenght m,Service end date,Commissioning year,finalization_date,service_type,finalized_by,turbine_id
Air Void,GEUS-3739,WTG A_168_S@68977-42.18-9772,Anomaly in Portal,TPI-60670,TPI 75.7,CATEGORY 2,LEADING_EDGE,PRESSURE_SIDE,42.18,https://storage.googleapis.com/aip_prod_bucket/6bc9cefd-42e8-45f0-a37e-68e4b23a92f9.jpg,https://storage.googleapis.com/aip_prod_bucket/6bc9cefd-42e8-45f0-a37e-68e4b23a92f9.jpg,,Link,3.8-154,0,null,75.7,"Feb 28, 2026",2025,"Feb 28, 2026",IIN,Lili Berrios,21532
Air Void,GEAU-4833,WTG B051@79948-8.3-2639,Anomaly in Portal,000512-PR65.4p3-53,LM 77.4P3,CATEGORY 2,MID_1,SUCTION_SIDE,8.3,https://storage.googleapis.com/aip_prod_bucket/50254ed5-4e59-403c-b384-5c35604c0058.jpg,https://storage.googleapis.com/aip_prod_bucket/50254ed5-4e59-403c-b384-5c35604c0058.jpg,,Link,5.5-158,0,null,77.4,"Feb 26, 2026",2023,"Feb 26, 2026",IIN,Maksims Jevsejevs,25192
Air Void,GEIL-4671,WTG 139B 53200029@91433-17.42-1500,Anomaly in Portal,000038-PR65.4P3-25,LM 77.4P3,CATEGORY 2,MID_1,PRESSURE_SIDE,17.42,https://storage.googleapis.com/aip_prod_bucket/ceec4599-0e87-4249-8cdc-71dc2bd5c5b2.png,https://storage.googleapis.com/aip_prod_bucket/ceec4599-0e87-4249-8cdc-71dc2bd5c5b2.png,,Link,5.3-158,0,null,77.4,"Feb 25, 2026",2025,"Feb 25, 2026",IIN,Aleksandrs Kapičs,29031
Air Void,GEUS-3966,WTG AR-37@82575-40.9-4846,Anomaly in Portal,000276-107.0P2-27,LM 107.0P2,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,40.9,https://storage.googleapis.com/aip_prod_bucket/c8b89028-a01a-45a2-813a-d9dab6f78b8d.jpg,https://storage.googleapis.com/aip_prod_bucket/c8b89028-a01a-45a2-813a-d9dab6f78b8d.jpg,,Link,Haliade-X 12.0-220,0,null,107,"Feb 25, 2026",2024,"Feb 25, 2026",IIN,Maksims Jevsejevs,26067
Air Void,GEIL-4671,WTG 137A 53200028@91430-14.44-3701,Anomaly in Portal,000054-PR65.4P3-25,LM 77.4P3,CATEGORY 2,MID_1,SUCTION_SIDE,14.44,https://storage.googleapis.com/aip_prod_bucket/843fc9f1-51c7-4ef2-86ef-651e1181b249.jpg,https://storage.googleapis.com/aip_prod_bucket/843fc9f1-51c7-4ef2-86ef-651e1181b249.jpg,null,Link,5.3-158,null,null,77.4,"Feb 24, 2026",2025,"Feb 24, 2026",IIN,Aleksandrs Kapičs,29030
Air Void,GEUS-3739,WTG 6_27_S@69522-19.6-8325,Anomaly in Portal,000385-75.7P2-33,TPI 75.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,19.6,https://storage.googleapis.com/aip_prod_bucket/5210dd4b-9c67-411f-9367-a70e7ad5c6d1.jpg,https://storage.googleapis.com/aip_prod_bucket/5210dd4b-9c67-411f-9367-a70e7ad5c6d1.jpg,,Link,3.8-154,0,null,75.7,"Feb 24, 2026",2025,"Feb 24, 2026",IIN,Maksims Jevsejevs,21713
Air Void,GEAU-4833,WTG B052@79952-11.6-5636,Anomaly in Portal,000460-PR65.4p3-53,LM 77.4P3,CATEGORY 2,MID_1,SUCTION_SIDE,11.6,https://storage.googleapis.com/aip_prod_bucket/0d8d0323-8a61-4266-bd70-ff2731f2ec42.jpg,https://storage.googleapis.com/aip_prod_bucket/0d8d0323-8a61-4266-bd70-ff2731f2ec42.jpg,,Link,5.5-158,0,null,77.4,"Feb 23, 2026",2023,"Feb 23, 2026",IIN,Maksims Jevsejevs,25193
Air Void,GEAU-4833,WTG B052@79952-14.7-1036,Anomaly in Portal,000460-PR65.4p3-53,LM 77.4P3,CATEGORY 2,LEADING_EDGE,PRESSURE_SIDE,14.7,https://storage.googleapis.com/aip_prod_bucket/061fc7e6-e224-40f7-a105-6207850107b4.jpg,https://storage.googleapis.com/aip_prod_bucket/061fc7e6-e224-40f7-a105-6207850107b4.jpg,,Link,5.5-158,0,null,77.4,"Feb 23, 2026",2023,"Feb 23, 2026",IIN,Maksims Jevsejevs,25193
Air Void,GEUS-4258,WTG T-27@76843-53.9-3477,Anomaly in Portal,000084-PR65.4-2P-23,77.4-2P,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,53.9,https://storage.googleapis.com/aip_prod_bucket/a9def095-7d75-49ae-bed8-ad904595d1f0.jpg,https://storage.googleapis.com/aip_prod_bucket/a9def095-7d75-49ae-bed8-ad904595d1f0.jpg,,Link,6.1-158,0,null,77.4,"Feb 20, 2026",2025,"Feb 20, 2026",IIN,Maksims Jevsejevs,24157
Air Void,GEUS-3966,WTG AT-34@82660-35.7-2608,Anomaly in Portal,000273-107.0P2-27,LM 107.0P2,CATEGORY 2,TRAILING_EDGE,SUCTION_SIDE,35.7,https://storage.googleapis.com/aip_prod_bucket/67af678b-7e82-422c-83da-5aacf765ecec.jpg,https://storage.googleapis.com/aip_prod_bucket/67af678b-7e82-422c-83da-5aacf765ecec.jpg,,Link,Haliade-X 12.0-220,0,null,107,"Feb 19, 2026",2024,"Feb 19, 2026",IIN,Maksims Jevsejevs,26096
Air Void,GEUS-3966,WTG AV-39@39524-14.15-6675,Anomaly in Portal,A@000117-LM107.0P2-27,LM 107.0P2,CATEGORY 2,MID_1,SUCTION_SIDE,14.15,https://storage.googleapis.com/aip_prod_bucket/1cb2e00b-432e-4ae9-89af-003edc60ae7d.jpg,https://storage.googleapis.com/aip_prod_bucket/1cb2e00b-432e-4ae9-89af-003edc60ae7d.jpg,,Link,Haliade-X 12.0-220,0,null,107,"Feb 17, 2026",2024,"Feb 17, 2026",IIN,Mārtiņš Tīmanis,13146
Air Void,GEUS-3966,WTG AV-39@39525-54.55-2971,Anomaly in Portal,B@000118-LM107.0P2-27,LM 107.0P2,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,54.55,https://storage.googleapis.com/aip_prod_bucket/36a75e93-f2db-4852-a530-0d1bcd73934b.jpg,https://storage.googleapis.com/aip_prod_bucket/36a75e93-f2db-4852-a530-0d1bcd73934b.jpg,,Link,Haliade-X 12.0-220,0,null,107,"Feb 17, 2026",2024,"Feb 17, 2026",IIN,Mārtiņš Tīmanis,13146
Air Void,GEUS-4259,WTG T-35@88315-43.8-5539,Anomaly in Portal,000041-GEV65.4-A1-33,LM 77.4,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,43.8,https://storage.googleapis.com/aip_prod_bucket/796db1b4-c12a-4012-b07f-011b05cf1466.jpg,https://storage.googleapis.com/aip_prod_bucket/796db1b4-c12a-4012-b07f-011b05cf1466.jpg,,Link,6.1-158,0,null,77.4,"Feb 17, 2026",2025,"Feb 17, 2026",IIN,Kristine Tooma,27993
Air Void,GEUS-3739,WTG 6_95_S@69205-51.2-1304,Anomaly in Portal,000480-75.7P2-33,TPI 75.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,51.2,https://storage.googleapis.com/aip_prod_bucket/5c39ce68-5950-48b0-8795-2542dadb5c04.jpg,https://storage.googleapis.com/aip_prod_bucket/5c39ce68-5950-48b0-8795-2542dadb5c04.jpg,,Link,3.8-154,0,null,75.7,"Feb 17, 2026",2025,"Feb 17, 2026",IIN,Maksims Jevsejevs,21608
Air Void,GEUS-4259,WTG T-35@88315-47.4-2142,Anomaly in Portal,000041-GEV65.4-A1-33,LM 77.4,CATEGORY 2,LEADING_EDGE,PRESSURE_SIDE,47.4,https://storage.googleapis.com/aip_prod_bucket/90e39b48-95a3-437f-8adf-835abc4cc818.jpg,https://storage.googleapis.com/aip_prod_bucket/90e39b48-95a3-437f-8adf-835abc4cc818.jpg,,Link,6.1-158,0,null,77.4,"Feb 17, 2026",2025,"Feb 17, 2026",IIN,Kristine Tooma,27993
Air Void,GEUS-4259,WTG T-35@88316-44.2-2134,Anomaly in Portal,000043-GEV65.4-A1-33,LM 77.4,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,44.2,https://storage.googleapis.com/aip_prod_bucket/51165bb7-4eb7-4eb3-92a7-e30bf6236796.jpg,https://storage.googleapis.com/aip_prod_bucket/51165bb7-4eb7-4eb3-92a7-e30bf6236796.jpg,,Link,6.1-158,0,null,77.4,"Feb 17, 2026",2025,"Feb 17, 2026",IIN,Kristine Tooma,27993
Air Void,GEUS-4259,WTG T-35@88315-53.6-6911,Anomaly in Portal,000041-GEV65.4-A1-33,LM 77.4,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,53.6,https://storage.googleapis.com/aip_prod_bucket/a0904cc9-0863-4a17-a87d-811ba1086c36.jpg,https://storage.googleapis.com/aip_prod_bucket/a0904cc9-0863-4a17-a87d-811ba1086c36.jpg,,Link,6.1-158,0,null,77.4,"Feb 17, 2026",2025,"Feb 17, 2026",IIN,Kristine Tooma,27993
Air Void,IEUS-4206,WTG T-010 34218247@62991-36.56-7098,Anomaly in Portal,A@TPI-50431,TPI 68.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,36.56,https://storage.googleapis.com/aip_prod_bucket/bcb3f5bb-2f98-49b5-aa51-3e4450601346.jpg,https://storage.googleapis.com/aip_prod_bucket/bcb3f5bb-2f98-49b5-aa51-3e4450601346.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,IEUS-4206,WTG T-010 34218247@62991-50.24-2822,Anomaly in Portal,A@TPI-50431,TPI 68.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,50.24,https://storage.googleapis.com/aip_prod_bucket/beb7f8e4-6961-45db-8399-6215f704841f.jpg,https://storage.googleapis.com/aip_prod_bucket/beb7f8e4-6961-45db-8399-6215f704841f.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,IEUS-4206,WTG T-010 34218247@62991-42.79-6415,Anomaly in Portal,A@TPI-50431,TPI 68.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,42.79,https://storage.googleapis.com/aip_prod_bucket/742c9a8c-5565-4d64-abb6-3db96cee509e.jpg,https://storage.googleapis.com/aip_prod_bucket/742c9a8c-5565-4d64-abb6-3db96cee509e.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,IEUS-4206,WTG T-010 34218247@62993-54.04-1684,Anomaly in Portal,C@TPI-50426,TPI 68.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,54.04,https://storage.googleapis.com/aip_prod_bucket/4dab67f5-6db8-40cb-a167-aae52a328716.jpg,https://storage.googleapis.com/aip_prod_bucket/4dab67f5-6db8-40cb-a167-aae52a328716.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,IEUS-4206,WTG T-010 34218247@62993-40.69-1920,Anomaly in Portal,C@TPI-50426,TPI 68.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,40.69,https://storage.googleapis.com/aip_prod_bucket/d2fa07fd-7437-4fd4-b38d-5b796f3b3233.jpg,https://storage.googleapis.com/aip_prod_bucket/d2fa07fd-7437-4fd4-b38d-5b796f3b3233.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,IEUS-4206,WTG T-010 34218247@62991-57.85-6436,Anomaly in Portal,A@TPI-50431,TPI 68.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,57.85,https://storage.googleapis.com/aip_prod_bucket/c761f702-d9cd-4ae9-8890-53428935a87d.jpg,https://storage.googleapis.com/aip_prod_bucket/c761f702-d9cd-4ae9-8890-53428935a87d.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,IEUS-4206,WTG T-010 34218247@62993-46.58-5374,Anomaly in Portal,C@TPI-50426,TPI 68.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,46.58,https://storage.googleapis.com/aip_prod_bucket/4895dafd-9aaf-49b7-b0ec-f3ab5968a5b3.jpg,https://storage.googleapis.com/aip_prod_bucket/4895dafd-9aaf-49b7-b0ec-f3ab5968a5b3.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,IEUS-4206,WTG T-010 34218247@62991-52.6-6384,Anomaly in Portal,A@TPI-50431,TPI 68.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,52.6,https://storage.googleapis.com/aip_prod_bucket/d16e69b1-ea06-413a-8ef0-b03849fc56b2.jpg,https://storage.googleapis.com/aip_prod_bucket/d16e69b1-ea06-413a-8ef0-b03849fc56b2.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,IEUS-4206,WTG T-010 34218247@62991-55.85-7753,Anomaly in Portal,A@TPI-50431,TPI 68.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,55.85,https://storage.googleapis.com/aip_prod_bucket/2aa056a6-9992-412c-97fe-1e3531ad5a1f.jpg,https://storage.googleapis.com/aip_prod_bucket/2aa056a6-9992-412c-97fe-1e3531ad5a1f.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,IEUS-4206,WTG T-010 34218247@62991-40.76-3373,Anomaly in Portal,A@TPI-50431,TPI 68.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,40.76,https://storage.googleapis.com/aip_prod_bucket/4aaebbbc-ae96-424d-aaeb-aee3ff7cc9df.jpg,https://storage.googleapis.com/aip_prod_bucket/4aaebbbc-ae96-424d-aaeb-aee3ff7cc9df.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,GEUS-3966,WTG AS-34@82528-12.8-1895,Anomaly in Portal,000152-107.0P2-27,LM 107.0P2,CATEGORY 2,MID_1,SUCTION_SIDE,12.8,https://storage.googleapis.com/aip_prod_bucket/75005471-5a8c-470c-ae29-83c29d02d8b7.jpg,https://storage.googleapis.com/aip_prod_bucket/75005471-5a8c-470c-ae29-83c29d02d8b7.jpg,,Link,Haliade-X 12.0-220,0,null,107,"Feb 13, 2026",2024,"Feb 13, 2026",IIN,Salvis Milts,26052
Air Void,GEUS-3966,WTG AS-34@82530-31.6-5809,Anomaly in Portal,000155-107.0P2-27,LM 107.0P2,CATEGORY 2,MID_1,SUCTION_SIDE,31.6,https://storage.googleapis.com/aip_prod_bucket/b228ae43-6add-40ac-b5e6-ad4d3f21f795.jpg,https://storage.googleapis.com/aip_prod_bucket/b228ae43-6add-40ac-b5e6-ad4d3f21f795.jpg,,Link,Haliade-X 12.0-220,0,null,107,"Feb 13, 2026",2024,"Feb 13, 2026",IIN,Salvis Milts,26052
Air Void,IEUS-4206,WTG T-010 34218247@62991-51.35-9720,Anomaly in Portal,A@TPI-50431,TPI 68.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,51.35,https://storage.googleapis.com/aip_prod_bucket/e9640a73-9736-4d69-9f10-225acdd80bfa.jpg,https://storage.googleapis.com/aip_prod_bucket/e9640a73-9736-4d69-9f10-225acdd80bfa.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,GEUS-3966,WTG AS-34@82528-31-1589,Anomaly in Portal,000152-107.0P2-27,LM 107.0P2,CATEGORY 2,TRAILING_EDGE,SUCTION_SIDE,31,https://storage.googleapis.com/aip_prod_bucket/d56a442d-c256-4688-bcdd-b02a3e73b806.jpg,https://storage.googleapis.com/aip_prod_bucket/d56a442d-c256-4688-bcdd-b02a3e73b806.jpg,,Link,Haliade-X 12.0-220,0,null,107,"Feb 13, 2026",2024,"Feb 13, 2026",IIN,Salvis Milts,26052
Air Void,IEUS-4206,WTG T-010 34218247@62991-35.74-6762,Anomaly in Portal,A@TPI-50431,TPI 68.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,35.74,https://storage.googleapis.com/aip_prod_bucket/5f45c06f-3887-4054-b9b8-4f99be817d96.jpg,https://storage.googleapis.com/aip_prod_bucket/5f45c06f-3887-4054-b9b8-4f99be817d96.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,IEUS-4206,WTG T-010 34218247@62991-45.26-6200,Anomaly in Portal,A@TPI-50431,TPI 68.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,45.26,https://storage.googleapis.com/aip_prod_bucket/2db62622-239d-4ff3-a50e-e5cf423e86ef.jpg,https://storage.googleapis.com/aip_prod_bucket/2db62622-239d-4ff3-a50e-e5cf423e86ef.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,IEUS-4206,WTG T-010 34218247@62993-48.45-3374,Anomaly in Portal,C@TPI-50426,TPI 68.7,CATEGORY 2,LEADING_EDGE,PRESSURE_SIDE,48.45,https://storage.googleapis.com/aip_prod_bucket/d15c7c36-9630-4208-a831-5982b32200b3.jpg,https://storage.googleapis.com/aip_prod_bucket/d15c7c36-9630-4208-a831-5982b32200b3.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,IEUS-4206,WTG T-010 34218247@62991-56.79-7528,Anomaly in Portal,A@TPI-50431,TPI 68.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,56.79,https://storage.googleapis.com/aip_prod_bucket/212a14ad-e056-466e-b9bc-c5637f64ddab.jpg,https://storage.googleapis.com/aip_prod_bucket/212a14ad-e056-466e-b9bc-c5637f64ddab.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,IEUS-4206,WTG T-010 34218247@62993-33.45-2819,Anomaly in Portal,C@TPI-50426,TPI 68.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,33.45,https://storage.googleapis.com/aip_prod_bucket/6919011b-656a-4b9f-a2b6-f8c734e80c44.jpg,https://storage.googleapis.com/aip_prod_bucket/6919011b-656a-4b9f-a2b6-f8c734e80c44.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,IEUS-4206,WTG T-010 34218247@62991-49.04-7756,Anomaly in Portal,A@TPI-50431,TPI 68.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,49.04,https://storage.googleapis.com/aip_prod_bucket/675e8ef8-217c-49dd-89f7-de8cf684e20b.jpg,https://storage.googleapis.com/aip_prod_bucket/675e8ef8-217c-49dd-89f7-de8cf684e20b.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,IEUS-4206,WTG T-010 34218247@62991-53.88-6749,Anomaly in Portal,A@TPI-50431,TPI 68.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,53.88,https://storage.googleapis.com/aip_prod_bucket/07ddb066-9e25-4338-8fed-6d4f8e136117.jpg,https://storage.googleapis.com/aip_prod_bucket/07ddb066-9e25-4338-8fed-6d4f8e136117.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,IEUS-4206,WTG T-010 34218247@62991-47.61-7841,Anomaly in Portal,A@TPI-50431,TPI 68.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,47.61,https://storage.googleapis.com/aip_prod_bucket/debd8e09-0f6d-400c-ad54-b7b5d4bb5e64.jpg,https://storage.googleapis.com/aip_prod_bucket/debd8e09-0f6d-400c-ad54-b7b5d4bb5e64.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,IEUS-4206,WTG T-010 34218247@62993-39.29-8554,Anomaly in Portal,C@TPI-50426,TPI 68.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,39.29,https://storage.googleapis.com/aip_prod_bucket/70112e5a-0b80-46bd-8e98-f0971d482986.jpg,https://storage.googleapis.com/aip_prod_bucket/70112e5a-0b80-46bd-8e98-f0971d482986.jpg,null,Link,Sierra 3.4-140,null,null,68.7,"Feb 13, 2026",2023,"Feb 13, 2026",IIN,Emīls Grigulis,19530
Air Void,GEUS-3739,WTG 6_100_S@69174-54.6-4778,Anomaly in Portal,TPI-60562,TPI 75.7,CATEGORY 2,LEADING_EDGE,PRESSURE_SIDE,54.6,https://storage.googleapis.com/aip_prod_bucket/d2b9e1d1-1983-41b3-b323-4738d3089c41.jpg,https://storage.googleapis.com/aip_prod_bucket/d2b9e1d1-1983-41b3-b323-4738d3089c41.jpg,,Link,3.8-154,0,null,75.7,"Feb 12, 2026",2025,"Feb 12, 2026",IIN,Maksims Jevsejevs,21597
Air Void,GEAU-4876,WTG 14 53197527@98431-7.7-5180,Anomaly in Portal,B@000032-PR.77.4P-32,LM 77.4,CATEGORY 2,MID_1,SUCTION_SIDE,7.7,https://storage.googleapis.com/aip_prod_bucket/abd7ff1f-bf4c-411a-8fbd-0b3493012442.jpg,https://storage.googleapis.com/aip_prod_bucket/abd7ff1f-bf4c-411a-8fbd-0b3493012442.jpg,,Link,5.3-158,0,null,77.4,"Feb 11, 2026",2021,"Feb 11, 2026",IIN,Maksims Jevsejevs,31357
Air Void,GEAU-4876,WTG 08 53197521@98414-42.6-4653,Anomaly in Portal,C@000048-R-77.4P-53,LM 77.4,CATEGORY 2,TRAILING_EDGE,SUCTION_SIDE,42.6,https://storage.googleapis.com/aip_prod_bucket/15d4637a-92f0-4a3c-9f37-a5d1c5db9c71.jpg,https://storage.googleapis.com/aip_prod_bucket/15d4637a-92f0-4a3c-9f37-a5d1c5db9c71.jpg,,Link,5.3-158,0,null,77.4,"Feb 11, 2026",2021,"Feb 11, 2026",IIN,Maksims Jevsejevs,31351
Air Void,GEAU-4833,WTG B001@79954-16.4-5142,Anomaly in Portal,000124-PR65.4P3-55,LM 77.4P3,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,16.4,https://storage.googleapis.com/aip_prod_bucket/b37a57ef-5b28-4e76-9268-bdf5288db477.jpg,https://storage.googleapis.com/aip_prod_bucket/b37a57ef-5b28-4e76-9268-bdf5288db477.jpg,,Link,5.5-158,0,null,77.4,"Feb 11, 2026",2023,"Feb 11, 2026",IIN,Ronalds Briedis,25194
Air Void,GEUS-3739,WTG 6_91_S@69327-32.8-9075,Anomaly in Portal,000243-LM75.7P2-55,TPI 75.7,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,32.8,https://storage.googleapis.com/aip_prod_bucket/8fb419a4-7451-42d3-9449-6e258fc74aee.jpg,https://storage.googleapis.com/aip_prod_bucket/8fb419a4-7451-42d3-9449-6e258fc74aee.jpg,,Link,3.8-154,0,null,75.7,"Feb 11, 2026",2025,"Feb 11, 2026",IIN,Kunj Dave,21648
Air Void,GEAU-4876,WTG 08 53197521@98414-47.9-4966,Anomaly in Portal,C@000048-R-77.4P-53,LM 77.4,CATEGORY 2,TRAILING_EDGE,PRESSURE_SIDE,47.9,https://storage.googleapis.com/aip_prod_bucket/a84d7ada-3319-48bd-9789-c1a24c3f820f.jpg,https://storage.googleapis.com/aip_prod_bucket/a84d7ada-3319-48bd-9789-c1a24c3f820f.jpg,,Link,5.3-158,0,null,77.4,"Feb 11, 2026",2021,"Feb 11, 2026",IIN,Maksims Jevsejevs,31351
Air Void,GEUS-4258,WTG T-35a@76868-8.26-6938,Anomaly in Portal,000043-PR65.4-2P-23,77.4-2P,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,8.26,https://storage.googleapis.com/aip_prod_bucket/24ca437d-9610-4cb5-abc3-74a660789c18.jpg,https://storage.googleapis.com/aip_prod_bucket/24ca437d-9610-4cb5-abc3-74a660789c18.jpg,,Link,6.1-158,0,null,77.4,"Feb 10, 2026",2025,"Feb 10, 2026",IIN,Ieva Zariņa,24165
Air Void,GEAU-4876,WTG 07 53197520@98411-19.1-7209,Anomaly in Portal,C@000019-R-77.4P-53,LM 77.4,CATEGORY 2,LEADING_EDGE,PRESSURE_SIDE,19.1,https://storage.googleapis.com/aip_prod_bucket/807c35d2-5db6-4987-9c06-56cd75d5e1e9.jpg,https://storage.googleapis.com/aip_prod_bucket/807c35d2-5db6-4987-9c06-56cd75d5e1e9.jpg,,Link,5.3-158,0,null,77.4,"Feb 9, 2026",2021,"Feb 9, 2026",IIN,Vineta Koftina,31350
Air Void,GEAU-4876,WTG 01 53195485@98391-19.6-4469,Anomaly in Portal,A@000014-PR.77.4P-32,LM 77.4,CATEGORY 2,MID_1,SUCTION_SIDE,19.6,https://storage.googleapis.com/aip_prod_bucket/f4b8cc28-a261-43c0-ad86-97337547aa92.jpg,https://storage.googleapis.com/aip_prod_bucket/f4b8cc28-a261-43c0-ad86-97337547aa92.jpg,,Link,5.3-158,0,null,77.4,"Feb 9, 2026",2021,"Feb 9, 2026",IIN,Maksims Jevsejevs,31344
Air Void,GEUS-4259,WTG T-08@88263-19.52-9727,Anomaly in Portal,000003-GEV65.4-A1-33,LM 77.4,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,19.52,https://storage.googleapis.com/aip_prod_bucket/9861268a-70c2-40b7-ac59-809a6ae90394.jpg,https://storage.googleapis.com/aip_prod_bucket/9861268a-70c2-40b7-ac59-809a6ae90394.jpg,,Link,6.1-158,0,null,77.4,"Feb 6, 2026",2025,"Feb 6, 2026",IIN,Ieva Zariņa,27975
Air Void,GEUS-4259,WTG T-08@88263-25.72-1694,Anomaly in Portal,000003-GEV65.4-A1-33,LM 77.4,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,25.72,https://storage.googleapis.com/aip_prod_bucket/f74a323f-a49a-4725-9c67-a2e71c8c332f.jpg,https://storage.googleapis.com/aip_prod_bucket/f74a323f-a49a-4725-9c67-a2e71c8c332f.jpg,,Link,6.1-158,0,null,77.4,"Feb 6, 2026",2025,"Feb 6, 2026",IIN,Ieva Zariņa,27975
Air Void,GEFI-5285,WTG 16 552015024@40481-13-4807,Anomaly in Portal,000120-PR-65.4P3-25,LM 77.4P3,CATEGORY 2,LEADING_EDGE,SUCTION_SIDE,13,https://storage.googleapis.com/aip_prod_bucket/2663448f-dbdc-4c52-a57e-822c44bfaf95.jpg,https://storage.googleapis.com/aip_prod_bucket/2663448f-dbdc-4c52-a57e-822c44bfaf95.jpg,,Link,5.5-158,0,null,77.4,"Feb 6, 2026",2022,"Feb 6, 2026",IIN,Maksims Jevsejevs,4103
